Year,Bangladesh,China,India,Iraq,Israel,Japan,Malaysia,Myanmar,Nepal,Pakistan,Philippines,Saudi Arabia,Singapore,Sri Lanka,Thailand
1960,4274894083.0,59716249311.0,37029883876.0,1537252192.0,3052993636.0,47419238274.0,1916229477.0,545098447.6,508334414.0,3749265015.0,7515894111.0,1748124063.0,704751700.3,1409873950.0,2760750861.0
1961,4817580375.0,50056685957.0,39232435784.0,1671960965.0,3687339032.0,57266758180.0,1901856123.0,605581577.3,531959561.6,4118647627.0,8171194425.0,1920811284.0,764629788.1,1444327731.0,3034037811.0
1962,5081413542.0,47209186415.0,42161481858.0,1784174541.0,2949160177.0,64987857542.0,2001489602.0,634528872.0,574091101.2,4310163797.0,4954593072.0,2130606532.0,826239211.8,1434156379.0,3308912797.0
1963,5319458563.0,50706614526.0,48421923459.0,1805901510.0,3515690733.0,74379284603.0,2510110348.0,598998418.7,496947904.4,4630827383.0,5505023238.0,2207393171.0,917608012.5,1240672269.0,3540403457.0
1964,5386054833.0,59708125204.0,56480289941.0,2136408198.0,4001288352.0,87490590818.0,2674423922.0,411419905.8,496098775.3,5204955901.0,5953756195.0,2371808713.0,894153311.4,1309747899.0,3889129942.0
1965,5906636792.0,70436008642.0,59556105229.0,2335785506.0,4304281997.0,97338107606.0,2956337669.0,367053117.2,735267082.3,5929231415.0,6517349772.0,2647955558.0,974644096.1,1698319328.0,4388937649.0
1966,6439687854.0,76720005492.0,45581230504.0,2530306096.0,4676353690.0,113047000000.0,3143517944.0,293103478.5,906811943.8,6561108778.0,7189017888.0,2920555557.0,1096425608.0,1751470588.0,5279230817.0
1967,7253575688.0,72881364882.0,50134942204.0,2551522657.0,4735101852.0,132476000000.0,3188924677.0,420359035.9,841974025.5,7464510710.0,7724873935.0,3257022223.0,1238035816.0,1859465021.0,5638461442.0
1968,7483685771.0,70846276051.0,53085455871.0,2896598841.0,5427155199.0,156897000000.0,3330371551.0,559956130.3,772231386.9,8041999160.0,8632749269.0,4187777711.0,1425706091.0,1801344538.0,6081009428.0
1969,8471006438.0,79705614855.0,58447995017.0,3007758797.0,6261770753.0,184299000000.0,3664552041.0,571854214.6,788641965.4,8683116338.0,9571800653.0,4485777644.0,1659893768.0,1965546218.0,6695336567.0
1970,8992722167.0,92602634892.0,62422483055.0,3281318687.0,7364277925.0,217224000000.0,3864145667.0,563555630.8,865975308.6,10027509450.0,7559115517.0,5377333333.0,1920574150.0,2296470588.0,7086538438.0
1971,8751843188.0,99800593791.0,67351404352.0,3865346535.0,7012333173.0,245364000000.0,4244395956.0,587448405.5,882765471.6,10665896682.0,8375075630.0,7184806909.0,2263785444.0,2369308600.0,7375000024.0
1972,6288245867.0,113689000000.0,71464700667.0,4113848002.0,9168824838.0,324934000000.0,5043347250.0,662213082.7,1024098400.0,9415016360.0,9067815521.0,9664267087.0,2721440981.0,2553936348.0,8177873151.0
1973,8086725729.0,138543000000.0,85517673173.0,5134367778.0,11835802405.0,441461000000.0,7662902678.0,719754655.4,972101725.0,6383429490.0,11412449735.0,14947435499.0,3696213333.0,2875625000.0,10838587358.0
1974,12512460520.0,144189000000.0,99526597934.0,11516762614.0,17075130883.0,490036000000.0,9496204302.0,1225589878.0,1217953547.0,8899191919.0,15607882555.0,45412957746.0,5221534956.0,3574586466.0,13702998512.0
1975,19448348073.0,163430000000.0,98473832017.0,13458516763.0,16050008787.0,532861000000.0,9298800799.0,1061107354.0,1575789254.0,11230606061.0,16875240684.0,46773208643.0,5633673930.0,3791298146.0,14882770594.0
1976,10117113333.0,153939000000.0,102716000000.0,17754825601.0,15864905769.0,598884000000.0,11050234599.0,1204699849.0,1452788985.0,13168080808.0,19381055197.0,64005665722.0,6327077974.0,3591319857.0,16985208648.0
1977,9651149302.0,174936000000.0,121487000000.0,19838130715.0,18153376716.0,737069000000.0,13139488633.0,873579931.9,1382400000.0,15126060606.0,22283109803.0,74188986586.0,6618585074.0,4104509583.0,19779312261.0
1978,13281767143.0,149541000000.0,137302000000.0,23762275652.0,17599385989.0,1035610000000.0,16358079862.0,935408775.0,1604162497.0,17811515152.0,25762224563.0,80266516687.0,7517176355.0,2733183857.0,24006566637.0
1979,15565480322.0,178281000000.0,152995000000.0,37816457839.0,22480105812.0,1077910000000.0,21213264962.0,952265043.4,1851250008.0,19688383838.0,31218296292.0,111858000000.0,9296921724.0,3364611432.0,27371650825.0
1980,18138049096.0,191149000000.0,186329000000.0,52569000000.0,25249789920.0,1129380000000.0,24488224677.0,1038225167.0,1945916583.0,23654444444.0,36848080899.0,164540000000.0,11896256783.0,4024621900.0,32353514989.0
